id,name,host_id,host_name,neighbourhood,longitude,latitude,property_type,room_type,beds,accommodates,price,availability,minimum_night,maximum_night,no_of_reviews,rating,host_listings_counts
15551245,可愛いﾚﾝｶﾞの壁のお部屋/ Manhattan,20915650,Ayami,East Harlem,-73.94037,40.79324,Apartment,Private room,1,2,65,0,7,30,1,100,1
15567275,Beautiful studio steps from the bay,30654691,Jeffrey,Hilo,-155.0728,19.71375,Condominium,Entire home/apt,2,3,79,298,2,1125,122,89,1
15581379,MTL DOWNTOWN STUDIO APT 6A,1132399,Unal,Downtown Toronto,-73.56211,45.5301,Apartment,Entire home/apt,1,2,39,252,27,355,4,100,31
15596462,Loios Studio Apartment 3,100504592,Good Stay,Downtown Toronto,-8.61285,41.14469,Apartment,Entire home/apt,1,2,70,312,3,300,101,92,3
15603491,"Aparthotel RioCentro, Globo/Projac, Arena Jeunesse",55600920,Jorge,Downtown Toronto,-43.3957321,-22.96123229,Apartment,Entire home/apt,2,3,175,79,2,180,28,98,1
15650737,Featured on TV - A Current Affair Come for a swim!,40832057,Sarah,Downtown Toronto,150.95347,-33.76119,Guest suite,Entire home/apt,5,7,88,338,1,1125,123,92,1
15652009,Modern 1BD in Leafy Cul-De-Sac,28650331,Georgia,Randwick,151.24573,-33.91571,Apartment,Entire home/apt,1,2,240,0,3,1125,2,90,1
15653247,OPORTO FLAT,101023246,Sónia,Randwick,-8.60792,41.1584,Apartment,Entire home/apt,3,8,39,282,1,1125,128,94,4
15657910,Cozy Room with perfect location,27207815,Kaiwing,Mong Kok,114.17062,22.30908,Guesthouse,Private room,1,2,298,364,5,365,2,70,3
15665837,Cozy Unit 5min from airport!,81799097,Kyle And,Mong Kok,151.18622,-33.92391,Apartment,Private room,1,2,135,177,2,1125,3,80,2
15702250,Hale Ohia: Peaceful Escape Close to National Park,30451088,Jeff,Island of Hawaiʻi,-155.28143,19.44145,House,Entire home/apt,4,7,175,355,2,1125,22,99,5
15702989,"Coreto 179, MODERN FLAT IN CLASSY OLD BUILDING",79793000,Lia,Island of Hawaiʻi,-8.60569,41.16256,Apartment,Entire home/apt,1,3,55,311,1,1125,86,98,1
15711623,"Stylish, central, bright, AC, Rambla Catalunya!",5878688,Yaiza,Dreta de l'Eixample,2.1644,41.38926,Serviced apartment,Entire home/apt,3,4,599,325,2,29,26,96,66
15719888,Central Terrace in the heart of Surry Hills,101427166,Gabi,Surry Hills,151.21271,-33.88871,House,Entire home/apt,4,5,300,0,2,1125,1,80,1
15721022,One-Bedroom Brooklyn Brownstone,34331702,Mariam,Bedford-Stuyvesant,-73.92903,40.68887,Apartment,Entire home/apt,1,2,95,12,3,1125,13,94,1
15721779,Beautiful Sydney Harbour Bridge & Opera House View,19312750,Nicole,Bedford-Stuyvesant,151.25417,-33.87964,Apartment,Private room,1,1,225,0,4,30,2,100,2
15723889,"Charming, Quiet Lenox Hill Studio By Transportatio",1486224,Emily,Bedford-Stuyvesant,-73.9619,40.76816,Apartment,Entire home/apt,2,2,150,32,4,30,5,96,1
15731780,Excellent studio in Barra da Tijuca,5530765,Carla,Bedford-Stuyvesant,-43.33076848,-23.00503641,Apartment,Entire home/apt,3,3,134,0,2,60,1,100,1
1574416,Lapa for your lifestyle.,8368066,Alexandre,Lapa,-43.18461355,-22.91210243,Apartment,Entire home/apt,1,2,93,329,2,1125,124,98,4
15744249,São Bento Studio,14416890,Lara,Lapa,-8.61062,41.14543,Apartment,Entire home/apt,2,3,75,352,1,60,62,92,6
15745859,Charmant Appartement grand et lumineux,44789336,Elise,Villeray-Saint-Michel-Parc-Extension,-73.61051,45.54517,Apartment,Entire home/apt,1,2,95,330,2,160,5,100,1
15745971,Multi level 2 bedroom apartment in Rosebery,31931360,Mohit,Rosebery,151.20181,-33.91585,Loft,Entire home/apt,3,6,225,17,2,1125,100,96,1
15747156,"Bronte Home, Fabulous Location",100826619,Catherine,Bronte,151.26372,-33.90277,House,Entire home/apt,4,6,999,84,4,21,3,100,1
15748933,Farm Fresh Bungalow,101790553,Erik,North Shore,-158.15725,21.57918,Other,Entire home/apt,1,2,65,134,2,1125,110,98,4
15762813,Beautiful Apartment Sagrada Familia SPB332388,54820821,Albert,La Sagrada Família,2.17178,41.40631,Apartment,Entire home/apt,5,4,60,246,1,1125,97,91,20
15771501,獨立房間 位於市中心 private room in the city,51744313,Yi,Shek Kip Mei,114.16676,22.33107,Apartment,Private room,1,1,181,231,1,1125,72,92,2
15782994,"Apartment ""The Garden""",102087285,Helena,Shek Kip Mei,-8.59971,41.15227,Apartment,Entire home/apt,3,6,80,260,2,1125,7,100,1
15787147,Hunter Hales is the Perfect Getaway!  KALA Cottage,102112859,Mike,Haiku/Pauwela,-156.32303,20.91468,Cottage,Entire home/apt,2,4,189,298,3,90,58,91,2
15797728,"Modern, Ambient 1-Bedroom Apartment",28189446,Michella,Great Kills,-74.14666,40.54106,Other,Entire home/apt,2,3,70,267,5,30,79,98,1
15806964,Bondi Beach Spacious Studio With Ocean View,102296147,Anita,Bondi Beach,151.2729,-33.8949,Apartment,Entire home/apt,1,3,169,279,3,1124,87,99,7
15808180,Private Studio closed to town w/ compact parking,102308804,Tiffany,Nuuanu/Punchbowl,-157.85228,21.31184,Apartment,Entire home/apt,1,3,95,251,2,29,95,96,2
15812792,Lovely and quiet doble room in the center of BCN,102345933,Marina,Nuuanu/Punchbowl,2.17689,41.39044,Apartment,Private room,1,2,35,79,1,1125,48,85,1
15816930,Spacious & Cozy Bushwick Walk-up 3mins from Train,9439324,Chérie,Bushwick,-73.90531,40.68844,Apartment,Private room,1,2,49,31,1,28,60,98,4
15819242,Sweet two bedroom in Crown Heights Bk,41191579,Maura,Crown Heights,-73.93902,40.67034,Apartment,Entire home/apt,2,3,87,0,1,180,9,100,3
15820774,"Sunny, family friendly 2 BR BONDI Apt",68460851,Arielle,North Bondi,151.27247,-33.88472,Apartment,Entire home/apt,3,4,171,0,3,1125,3,90,1
15824730,Private doubleroom near grandbazaar,17107712,Alper,Sultanahmet,28.96917,41.00629,Guesthouse,Private room,1,2,295,360,2,1125,18,96,7
15828858,Made4U - Glória      NEW!!!,24404975,João,Sultanahmet,-8.61302,41.15772,Apartment,Entire home/apt,2,4,45,104,3,30,119,97,8
15834431,Apt on Johnston - Holiday Room,99971507,Apartments,Sultanahmet,114.17511,22.27735,Apartment,Private room,1,2,361,315,2,1125,83,87,4
